City,Lat,Long,Temperature,Humidity,Pressure,Carbon Dioxide,Wind,Fire Probability
Los Angeles,34.052235,-118.243683,40,40,40,40,40,40
San Diego,32.715736,-117.161087,30,30,30,30,30,30
San Jose,37.33548,-121.893028,26,26,26,26,26,26
San Francisco,37.733795,-122.446747,37,37,37,37,37,37
Fresno,36.746841,-119.772591,9,9,9,9,9,9
Sacramento,38.575764,-121.478851,15,15,15,15,15,15
Long Beach,33.77005,-118.193741,27,27,27,27,27,27
Oakland,37.804363,-122.271111,25,25,25,25,25,25
Bakersfield,35.393528,-119.043732,49,49,49,49,49,49
Anaheim,33.835293,-117.914505,45,45,45,45,45,45
